Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1931,10.68877130329541,8.460086908409941,9.859067357893663,6.177348224209801,13.83505951231184,3.855845021386313,7.5750506245240485,9.129203461505474,7.159912291325937,6.020729861390254,7.506690138628464,8.803560303039434,7.777324766487363,6.705927006318315,4.749321085957682,2.8268670990511775,6.232062657690784,15.37984213773379,10.117763454537341,9.224843876277793,4.024844162165371,7.646026704725529,11.517555414197059,,7.241714985652679
1932,11.60263250761094,7.595135321743369,9.697090272622814,5.811903115027684,14.146538993497114,3.3762033102329414,7.647987141859908,8.846157649382059,7.222207581086216,5.7011285784318835,7.430586720059664,9.166447578780243,8.24457568782855,6.900226833599949,4.956297454947306,3.0366105877203355,5.276469309582671,16.184346722493434,10.713354887920511,8.494556464368694,4.064096735490906,7.468044809577488,11.9043486448768,,7.291894118948577
1933,11.777882185411926,7.350676223631053,9.688099429161136,5.409949475575073,16.031914199815215,3.9982028623326666,7.498792818297461,9.041966520695233,7.048283902877424,5.880067913498406,7.438378222931943,9.456077691694524,8.584042763989988,6.71322407896312,4.8820463364287425,3.24366950385049,5.853137187801906,16.110102231197967,10.87739691540307,8.39586819894138,4.335793997198729,7.7787117503708885,11.52354272598734,,7.22985580617554
1934,11.838468072540039,9.912136305719976,9.546667604637278,5.9495415792136646,15.119789080954998,4.503885104213452,7.408139126711604,9.254015972628983,7.243682020514777,6.115483801837914,7.311628072383129,9.79788952558749,8.566302640431536,6.520562927952404,4.794083324895044,3.2041340886997376,6.225375769379309,15.345168363180395,11.055857222413191,9.287783099855254,4.496851274446402,7.859493098571968,12.761492141477321,,7.215096003784501
1935,12.085900156870295,9.143356745217906,9.992479252717526,6.467299618431782,15.307805900325477,4.60429181866349,8.134269359445407,9.384737232928419,7.329967099865463,6.166580189227917,7.220056189075181,9.972766847880031,8.675219084868102,6.695590792780018,4.827754285669737,3.2369902785097113,6.6642090206639235,16.128684130637144,11.156240432822953,9.35835100840325,4.247224607671274,8.186644917225378,12.79886760847126,,7.434709566103219
1936,12.261904530428605,8.59640322805557,10.108696063561677,6.816327216068343,15.308469460742222,4.772655589729587,8.169983277063947,9.560850912731276,5.766412566505011,6.36685803173424,7.24361927704149,10.131927674768855,8.470230723127885,6.866152076905974,4.657924451982295,3.415137596019923,7.173301390361938,16.87285534364221,11.447573434043429,10.532425578792642,3.8815841644918905,8.52468220924991,13.09159157940433,,7.2786386831620655
1937,12.63531011615183,8.342885883528039,10.534531939378192,7.449073742109047,15.422984897537823,5.196968194586454,8.845351209079919,9.740840533784706,5.245440164789516,6.371162944489565,8.387251698465358,10.143763364399762,9.445247443772908,7.04621047315964,4.96800493825059,3.5554876186169477,7.389314251143753,17.053249270139275,11.768012367120281,13.130136180159708,4.496401189885965,8.612503012545062,13.70665016880031,,7.779551040001616
1938,12.729419854634616,8.727569077697165,10.500949699722817,7.840986055007186,16.216516156839386,5.371160922487513,9.111690548873728,9.945149150416709,5.188324830087557,6.425115682183849,8.24166157698749,10.013462138189873,9.009319415720832,6.8247747294002234,5.064861443334528,3.7765674719025633,7.489050414288425,16.217855598666,11.966091443813275,13.637726903669767,4.47874407385715,8.837564404280178,15.769265201490295,,7.859832098563041
1939,12.738648486896333,9.344040974488623,10.046396243859189,8.26525708905597,15.642888416882455,5.307798178485382,9.760596088266404,10.347168072257709,5.54196106391735,6.559591103422514,8.511056595531306,9.376155892377138,8.735138405461232,6.989244187899623,5.356577117221219,4.287396879158563,7.870637858939311,16.514142088297977,12.062764309257224,14.569990153580925,4.489555554404818,9.004543791236472,15.135835447037076,,8.310224629576366
1940,13.417014316161598,9.18370520229142,8.206281017403073,9.126518324089085,15.360934457799614,5.505090600391479,9.719902680239946,8.958633014852586,6.207762199359054,5.900003088439112,6.546581369787544,8.603657356978292,7.347055995897724,6.996823199159762,5.50181145170998,4.366216903537963,7.962777149339397,13.99880603833562,10.971493393001163,15.317614211680246,4.16125895919352,8.972267613588517,15.491365266495329,,8.044961143664596
