Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1930,9266.902632502854,7305.562725896324,8448.5122395165,9144.084263220731,16276.434257189723,3913.7372230956757,6951.678124442257,9729.114903083919,6514.427419103652,4608.2465194882525,7584.3260610823045,7986.852872710806,6756.579356305955,6567.624963319804,5406.525428326986,3220.189957289575,3886.299723206834,11058.228556910055,9101.96176730375,9547.897414883224,3216.595558237472,7046.472228287971,8587.563442889661,,6786.187265415718
1931,8568.793958691223,6695.094964877145,8192.492979322571,7610.291484730008,15486.940912006283,3134.9102916664337,6028.869001178304,9762.73003637972,6286.908628951341,4462.363157632666,7243.876580485455,7542.879763849168,6298.048403943504,6737.850805022195,5306.32374719146,3197.4787037909864,3946.702434701539,10234.20787010327,8339.98056626969,8896.184553283716,3340.1630629810643,6962.379140318134,7975.843263134508,,6323.530776954965
1932,8982.422904722964,5984.779382243806,7824.074958973369,6978.763787088431,14880.295428291776,2739.9093602789767,5508.238322383484,9416.890044301334,6362.913505858495,4407.85590448409,6604.308223918117,7557.3205131272325,6673.829894737772,6911.1993320040065,5379.917132790598,3413.694562676257,3296.914855699891,9938.513031077317,8699.080427651797,8162.058333541733,3363.5319300456367,6643.989235334726,6902.100956179022,,6028.658947431139
1933,9530.850259968776,5766.31343531585,7772.680680672027,6406.528993351966,15547.979789452054,3237.4992906101156,5907.511304276494,9637.559578891554,6180.198033186786,4674.517746079117,6795.573368221017,7746.989154200026,6904.239342257908,6709.667036875313,5275.199902849635,3693.621883337397,3605.605585420343,9783.024575634854,8867.199792455018,8047.296631421944,3547.003498786563,6861.566008055941,6776.794624578649,,6147.181562805835
1934,9958.847181428066,5801.509432511289,7629.056919019763,7015.975907644166,15511.506646514345,3637.470362021942,6476.192790473099,9840.751299597407,6353.83999866268,5168.552595900606,6555.390826850363,8231.478358523545,6870.675650501318,6512.192612177674,5219.327124029157,3651.691718251619,3780.721722025014,9483.886129976845,9129.342165077513,8891.8987478747,3653.1165948951966,7276.607533393831,7461.542397841238,,6274.574445262033
1935,10466.103497964365,5918.96932891982,8017.187308635865,7509.419635208505,15393.479631209007,3707.3959338615387,7222.760933398051,9982.145846583087,6420.916398426758,5348.570505089315,6390.933891158164,8512.584601322471,6937.052103028701,6702.253221413141,5459.197336951322,3690.1985235668676,3988.32516114173,9729.719308616519,9534.893818794619,8953.322152764125,3417.0719009260056,7724.159385487635,8070.162351796199,,6552.126282845919
1936,10856.321436870861,6094.798757611398,8258.901201993229,7839.365537682112,15396.99677905151,3829.8780281640843,7997.157367873541,10155.33518896992,4944.352328771699,5671.288370894236,6478.781151186374,8859.25778511306,6775.383858961731,6897.950874456036,5226.004908726021,3905.910693792513,4247.9602775604435,10243.345457569018,10125.865151635538,9699.210119001407,3118.3786274343033,8169.317684807522,9051.061541467201,,6623.307231919485
1937,11308.620449024122,6425.0973316090385,8633.741944028698,8503.139712548224,16082.412301520384,4154.514648828895,8828.343249323998,10326.029939601916,4494.216104119945,5951.457104559059,6626.232331500519,9127.083176421767,7545.305967603472,7098.508847235174,5703.1110313256095,4028.9392546133454,4313.862002700065,10723.012360568451,10522.127872701089,11083.187096669022,3598.60601693937,8352.065178237153,9458.375186803569,,7036.527663953371
1938,11585.498787242635,7249.4040328563415,8514.765369679832,8640.947274268563,16651.187955466245,4275.770337820358,9568.753639546203,10497.133629884383,4450.587086950204,6209.44726780941,6458.248790408877,9198.767082202734,7203.6689847028065,6876.03379944632,5818.119697914846,4262.41191128767,4310.007861778177,10361.61939660069,10695.713202324805,11371.638737108755,3578.184952662423,8655.49837277117,9073.305801934024,,7247.404856998896
1939,11505.264034245034,8320.924019447653,8230.116321823021,9063.35057490893,16575.337619198577,4206.050842087831,11263.070659104606,10917.137313894626,4759.911932974942,5896.9315965169235,6723.224303136507,9192.821047142234,7004.024970750541,7098.95801738149,6119.22700629818,4900.713498271615,4463.185573078222,10942.65602742683,11143.449435536168,12018.402614920891,3581.5610574619623,9423.219149717057,9722.71185859941,,7948.943782518351
